image_path,prediction,confidence,Optimistic,Pessimistic,Hostile,Neutral
Sample_Dataset/Reichel/images_with_faces/1014659_533957_image.jpeg,Optimistic,0.9467,0.9467,0.0018,0.0013,0.0501
Sample_Dataset/Reichel/images_with_faces/1014845_534087_image.jpeg,Optimistic,0.7578,0.7578,0.0629,0.1639,0.0154
Sample_Dataset/Reichel/images_with_faces/1014847_534089_image.jpeg,Optimistic,0.9642,0.9642,0.0006,0.0079,0.0273
Sample_Dataset/Reichel/images_with_faces/1014865_534090_image.jpeg,Pessimistic,0.5623,0.2291,0.5623,0.0422,0.1664
Sample_Dataset/Reichel/images_with_faces/1014870_534091_image.jpeg,Optimistic,0.8868,0.8868,0.0222,0.0169,0.0741
Sample_Dataset/Reichel/images_with_faces/1014989_534200_image.jpeg,Neutral,0.5741,0.2297,0.1257,0.0704,0.5741
Sample_Dataset/Reichel/images_with_faces/1014990_534201_image.jpeg,Optimistic,0.7329,0.7329,0.0798,0.1061,0.0812
Sample_Dataset/Reichel/images_with_faces/1018453_536560_image.jpeg,Neutral,0.5095,0.4756,0.0077,0.0073,0.5095
Sample_Dataset/Reichel/images_with_faces/1018454_536561_image.jpeg,Neutral,0.8951,0.0789,0.0107,0.0153,0.8951
Sample_Dataset/Reichel/images_with_faces/1018471_536575_image.jpeg,Pessimistic,0.4336,0.2486,0.4336,0.1492,0.1687
Sample_Dataset/Reichel/images_with_faces/1018474_536578_image.jpeg,Optimistic,0.7306,0.7306,0.1247,0.0152,0.1295
Sample_Dataset/Reichel/images_with_faces/1018491_536596_image.jpeg,Optimistic,0.9888,0.9888,0.0063,0.0008,0.0041
Sample_Dataset/Reichel/images_with_faces/1018518_536618_image.jpeg,Hostile,0.9822,0.0102,0.001,0.9822,0.0066
Sample_Dataset/Reichel/images_with_faces/1018621_536677_image.jpeg,Hostile,0.8574,0.0224,0.0006,0.8574,0.1196
Sample_Dataset/Reichel/images_with_faces/1018737_536755_image.jpeg,Optimistic,0.5398,0.5398,0.1567,0.0737,0.2298
Sample_Dataset/Reichel/images_with_faces/1018874_536864_image.jpeg,Neutral,0.815,0.037,0.1208,0.0272,0.815
Sample_Dataset/Reichel/images_with_faces/1021938_539104_image.jpeg,Optimistic,0.8768,0.8768,0.0031,0.0122,0.1079
Sample_Dataset/Reichel/images_with_faces/1021954_539117_image.jpeg,Optimistic,0.5597,0.5597,0.0216,0.0942,0.3244
Sample_Dataset/Reichel/images_with_faces/1022231_539310_image.jpeg,Optimistic,0.9921,0.9921,0.0012,0.0013,0.0053
Sample_Dataset/Reichel/images_with_faces/1022273_539331_image.jpeg,Optimistic,0.6948,0.6948,0.1913,0.0064,0.1075
Sample_Dataset/Reichel/images_with_faces/1022337_539369_image.jpeg,Hostile,0.8769,0.1104,0.0052,0.8769,0.0075
Sample_Dataset/Reichel/images_with_faces/1022342_539374_image.jpeg,Optimistic,0.4172,0.4172,0.2005,0.0059,0.3763
Sample_Dataset/Reichel/images_with_faces/1022586_539467_image.jpeg,Pessimistic,0.6325,0.0279,0.6325,0.1038,0.2359
Sample_Dataset/Reichel/images_with_faces/1025202_540946_image.jpeg,Unknown,0.3746,0.3746,0.1821,0.2094,0.2339
Sample_Dataset/Reichel/images_with_faces/1025226_540964_image.jpeg,Optimistic,0.9944,0.9944,0.0014,0.0015,0.0027
Sample_Dataset/Reichel/images_with_faces/1025233_540969_image.jpeg,Neutral,0.5247,0.2935,0.0199,0.1619,0.5247
Sample_Dataset/Reichel/images_with_faces/1025313_541025_image.jpeg,Unknown,0.359,0.2167,0.359,0.1497,0.2746
Sample_Dataset/Reichel/images_with_faces/1025403_541058_image.jpeg,Optimistic,0.9972,0.9972,0.0005,0.0009,0.0014
Sample_Dataset/Reichel/images_with_faces/1025520_541129_image.jpeg,Optimistic,0.9133,0.9133,0.0116,0.0613,0.0138
Sample_Dataset/Reichel/images_with_faces/1026958_542103_image.jpeg,Neutral,0.9875,0.0041,0.003,0.0054,0.9875
Sample_Dataset/Reichel/images_with_faces/1027173_542244_image.jpeg,Hostile,0.7346,0.0588,0.0105,0.7346,0.1961
Sample_Dataset/Reichel/images_with_faces/1027266_542286_image.jpeg,Pessimistic,0.9885,0.0007,0.9885,0.0003,0.0105
Sample_Dataset/Reichel/images_with_faces/1027267_542287_image.jpeg,Optimistic,0.9758,0.9758,0.0118,0.002,0.0103
Sample_Dataset/Reichel/images_with_faces/1027270_542288_image.jpeg,Neutral,0.7369,0.172,0.0224,0.0687,0.7369
Sample_Dataset/Reichel/images_with_faces/1028530_543196_image.jpeg,Neutral,0.7348,0.0247,0.1579,0.0826,0.7348
Sample_Dataset/Reichel/images_with_faces/1029912_544030_image.jpeg,Neutral,0.9439,0.0366,0.0161,0.0033,0.9439
Sample_Dataset/Reichel/images_with_faces/1029914_544032_image.jpeg,Optimistic,0.8227,0.8227,0.0868,0.0389,0.0515
Sample_Dataset/Reichel/images_with_faces/1029922_544040_image.jpeg,Neutral,0.688,0.2527,0.0068,0.0525,0.688
Sample_Dataset/Reichel/images_with_faces/1029927_544045_image.jpeg,Neutral,0.6808,0.1641,0.0152,0.1398,0.6808
Sample_Dataset/Reichel/images_with_faces/1029934_544052_image.jpeg,Neutral,0.8245,0.0858,0.0822,0.0075,0.8245
Sample_Dataset/Reichel/images_with_faces/1029936_544055_image.jpeg,Neutral,0.9785,0.0132,0.0074,0.001,0.9785
Sample_Dataset/Reichel/images_with_faces/1029985_544073_image.jpeg,Pessimistic,0.8415,0.0017,0.8415,0.1375,0.0194
Sample_Dataset/Reichel/images_with_faces/1029987_544075_image.jpeg,Optimistic,0.9146,0.9146,0.038,0.0236,0.0238
Sample_Dataset/Reichel/images_with_faces/1029989_544077_image.jpeg,Optimistic,0.8249,0.8249,0.0126,0.1214,0.0412
Sample_Dataset/Reichel/images_with_faces/1029994_544079_image.jpeg,Neutral,0.7782,0.1636,0.0121,0.0462,0.7782
Sample_Dataset/Reichel/images_with_faces/1030006_544088_image.jpeg,Hostile,0.5489,0.138,0.1381,0.5489,0.175
Sample_Dataset/Reichel/images_with_faces/1030007_544089_image.jpeg,Neutral,0.9474,0.0277,0.0087,0.0162,0.9474
Sample_Dataset/Reichel/images_with_faces/1030015_544096_image.jpeg,Hostile,0.8904,0.0312,0.0607,0.8904,0.0177
Sample_Dataset/Reichel/images_with_faces/1030030_544111_image.jpeg,Neutral,0.5831,0.3538,0.0571,0.006,0.5831
Sample_Dataset/Reichel/images_with_faces/1030413_544366_image.jpeg,Neutral,0.9363,0.0435,0.0097,0.0105,0.9363
Sample_Dataset/Reichel/images_with_faces/1030488_544413_image.jpeg,Optimistic,0.5079,0.5079,0.0065,0.1993,0.2862
Sample_Dataset/Reichel/images_with_faces/1031681_545590_image.jpeg,Pessimistic,0.9634,0.0203,0.9634,0.0119,0.0044
Sample_Dataset/Reichel/images_with_faces/1038935_547280_image.jpeg,Optimistic,0.6163,0.6163,0.0047,0.1052,0.2739
Sample_Dataset/Reichel/images_with_faces/1038937_547282_image.jpeg,Neutral,0.9091,0.0192,0.045,0.0267,0.9091
Sample_Dataset/Reichel/images_with_faces/1038941_547286_image.jpeg,Hostile,0.433,0.3969,0.0665,0.433,0.1037
Sample_Dataset/Reichel/images_with_faces/1038948_547293_image.jpeg,Optimistic,0.4286,0.4286,0.1822,0.1692,0.2201
Sample_Dataset/Reichel/images_with_faces/1038949_547294_image.jpeg,Neutral,0.905,0.076,0.0111,0.0078,0.905
Sample_Dataset/Reichel/images_with_faces/1038951_547296_image.jpeg,Neutral,0.5856,0.3348,0.0488,0.0308,0.5856
Sample_Dataset/Reichel/images_with_faces/1038953_547298_image.jpeg,Pessimistic,0.756,0.0332,0.756,0.0543,0.1565
Sample_Dataset/Reichel/images_with_faces/1038954_547299_image.jpeg,Pessimistic,0.6315,0.0175,0.6315,0.2074,0.1436
Sample_Dataset/Reichel/images_with_faces/1038955_547300_image.jpeg,Neutral,0.7976,0.1101,0.0805,0.0118,0.7976
Sample_Dataset/Reichel/images_with_faces/1038956_547301_image.jpeg,Neutral,0.532,0.3886,0.0085,0.071,0.532
Sample_Dataset/Reichel/images_with_faces/1038959_547304_image.jpeg,Optimistic,0.9926,0.9926,0.0006,0.0039,0.0029
Sample_Dataset/Reichel/images_with_faces/1038964_547309_image.jpeg,Neutral,0.95,0.0355,0.0115,0.003,0.95
