image_path,prediction,confidence,Optimistic,Pessimistic,Hostile,Neutral
Sample_Dataset/Reichel/images_with_faces/1045104_551638_image.jpeg,Neutral,0.8536,0.1353,0.0,0.011,0.8536
Sample_Dataset/Reichel/images_with_faces/1045106_551640_image.jpeg,Neutral,0.7003,0.2966,0.0005,0.0026,0.7003
Sample_Dataset/Reichel/images_with_faces/1045154_551685_image.jpeg,Neutral,0.9965,0.003,0.0,0.0005,0.9965
Sample_Dataset/Reichel/images_with_faces/1045188_551716_image.jpeg,Neutral,0.9415,0.056,0.0003,0.0022,0.9415
Sample_Dataset/Reichel/images_with_faces/1045189_551717_image.jpeg,Neutral,0.8334,0.1571,0.0007,0.0088,0.8334
Sample_Dataset/Reichel/images_with_faces/1045193_551721_image.jpeg,Optimistic,0.8447,0.8447,0.0013,0.0003,0.1537
Sample_Dataset/Reichel/images_with_faces/1045200_551729_image.jpeg,Neutral,0.6004,0.3798,0.0087,0.0111,0.6004
Sample_Dataset/Reichel/images_with_faces/1045222_551751_image.jpeg,Pessimistic,0.9767,0.0001,0.9767,0.0028,0.0204
Sample_Dataset/Reichel/images_with_faces/1045230_551758_image.jpeg,Neutral,0.9938,0.0034,0.0002,0.0025,0.9938
Sample_Dataset/Reichel/images_with_faces/1045234_551762_image.jpeg,Neutral,0.9745,0.0249,0.0,0.0005,0.9745
Sample_Dataset/Reichel/images_with_faces/1045263_551777_image.jpeg,Optimistic,0.9998,0.9998,0.0,0.0,0.0002
Sample_Dataset/Reichel/images_with_faces/1045500_551921_image.jpeg,Optimistic,0.866,0.866,0.0099,0.0148,0.1094
Sample_Dataset/Reichel/images_with_faces/1045503_551923_image.jpeg,Hostile,0.951,0.0069,0.0022,0.951,0.0399
Sample_Dataset/Reichel/images_with_faces/1046108_552236_image.jpeg,Optimistic,0.6541,0.6541,0.2024,0.0862,0.0574
Sample_Dataset/Reichel/images_with_faces/1046240_552332_image.jpeg,Hostile,0.9802,0.0143,0.0,0.9802,0.0055
Sample_Dataset/Reichel/images_with_faces/1046279_552342_image.jpeg,Hostile,0.9972,0.0026,0.0001,0.9972,0.0001
Sample_Dataset/Reichel/images_with_faces/1046504_552526_image.jpeg,Hostile,0.5809,0.3804,0.0018,0.5809,0.037
Sample_Dataset/Reichel/images_with_faces/1046713_552611_image.jpeg,Optimistic,0.7059,0.7059,0.0007,0.063,0.2304
Sample_Dataset/Reichel/images_with_faces/1046901_552707_image.jpeg,Optimistic,0.8364,0.8364,0.0057,0.0065,0.1515
Sample_Dataset/Reichel/images_with_faces/1046905_552710_image.jpeg,Neutral,0.7202,0.2415,0.0246,0.0137,0.7202
Sample_Dataset/Reichel/images_with_faces/1046923_552719_image.jpeg,Neutral,0.9708,0.0288,0.0001,0.0003,0.9708
Sample_Dataset/Reichel/images_with_faces/1046929_552721_image.jpeg,Neutral,0.9425,0.0573,0.0001,0.0001,0.9425
Sample_Dataset/Reichel/images_with_faces/1046997_552760_image.jpeg,Unknown,0.3916,0.3349,0.3916,0.0247,0.2489
Sample_Dataset/Reichel/images_with_faces/1047071_552800_image.jpeg,Hostile,0.9751,0.0017,0.0007,0.9751,0.0225
Sample_Dataset/Reichel/images_with_faces/1047079_552806_image.jpeg,Neutral,0.4788,0.1052,0.3545,0.0615,0.4788
Sample_Dataset/Reichel/images_with_faces/1049199_554363_image.jpeg,Neutral,0.9328,0.0486,0.0004,0.0182,0.9328
Sample_Dataset/Reichel/images_with_faces/1049203_554367_image.jpeg,Optimistic,0.8837,0.8837,0.0097,0.0183,0.0883
Sample_Dataset/Reichel/images_with_faces/1049204_554368_image.jpeg,Neutral,0.921,0.055,0.0012,0.0228,0.921
Sample_Dataset/Reichel/images_with_faces/1049206_554370_image.jpeg,Neutral,0.7786,0.1959,0.0065,0.019,0.7786
Sample_Dataset/Reichel/images_with_faces/1049207_554371_image.jpeg,Neutral,0.6409,0.3362,0.0001,0.0227,0.6409
Sample_Dataset/Reichel/images_with_faces/1049208_554372_image.jpeg,Neutral,0.8989,0.075,0.0224,0.0036,0.8989
Sample_Dataset/Reichel/images_with_faces/1049209_554373_image.jpeg,Neutral,0.8759,0.1056,0.0067,0.0118,0.8759
Sample_Dataset/Reichel/images_with_faces/1049210_554374_image.jpeg,Neutral,0.9537,0.022,0.0067,0.0176,0.9537
